CustomerId;Profit;Recency;Frequency;Monetary;Variance
1;187;63;1;2349,06;2
2;96;10;6;922,62;4
3;47;35;4;881,22;3
4;294;5;1;3815,16;2
5;732;4;31;41868,11;29
6;37;16;3;2053,4;8
7;264;11;12;4861,49;12
8;188;4;8;4010,69;9
9;316;4;21;12636,8;20
10;528;5;18;17741,24;26
11;87;18;6;5542,36;10
12;58457;11;13;25965518,2;110
13;445;5;14;24193,52;23
14;434;17;8;35265,23;24
15;247;25;8;17161,14;17
16;111;4;7;1551,15;3
17;320;5;15;7345,29;20
18;18;7;2;339,1;5
19;36;40;7;774,44;5
20;26;59;3;251,98;2
21;156;32;4;11455,86;10
22;30;42;1;139,76;1
23;251;5;13;5230,98;19
24;42;41;3;351,06;3
25;94;5;5;2265,75;10
26;957;3;22;35229,52;34
27;3858;3;52;114028,95;41
28;304;47;4;5845,68;6
29;79;3;9;750,84;8
30;39;18;3;602,63;2
31;36;2;2;537;2
32;123;4;6;3461,61;12
33;115;55;3;5802,5;14
34;56;32;5;427,31;4
35;6;63;1;49,99;1
36;39;2;8;1195,41;6
37;548;2;14;23431,21;20
38;251;5;10;6580,88;8
39;597;3;27;29915,37;26
40;270;24;13;3499,2;9
41;638;6;16;37273,21;39
42;33273;3;62;3059273,52;96
43;8;40;1;75,48;1
44;8;63;1;75,48;1
45;435;4;14;20953,36;21
46;516;6;14;14164,84;22
47;29;3;4;295,92;4
48;314;3;15;8863,08;14
49;356;4;17;13089,16;19
50;191;6;3;1979,79;7
51;67669;1;77;31966480,14;134
52;667;1;3;55547,8;14
53;800;3;11;39119,06;25
54;414;5;25;65626,88;25
55;48;33;2;349,92;1
56;1192;4;24;93531,57;46
57;40;12;4;130,72;1
58;271;3;22;4340,73;8
59;442;5;13;18207,51;12
60;17;21;5;295,21;3
61;28;7;7;683,35;6
62;174;5;12;5437,51;15
63;318;3;13;9916,47;12
64;18;18;2;290,4;3
65;95;4;24;2178,73;13
66;145;10;9;7234,36;12
67;2851;10;11;467173,24;61
68;3645;3;36;73717,29;62
69;319;5;12;9566,5;7
70;1503;7;17;115407,56;50
71;82;21;5;1395,93;9
72;4553;49;8;105275,94;6
73;69;2;10;1186,25;6
74;793;4;13;31984,79;39
75;279;5;10;7465,7;18
76;195;6;17;2867,65;15
77;21;13;3;524,76;4
78;713;3;7;31663;18
79;325;7;6;25173,63;22
80;373;3;22;11111,18;22
81;166;10;7;6312,12;8
82;1509;7;18;75701,68;42
83;213;5;3;21170,92;22
84;316;5;20;6530,72;9
85;290;41;2;5392,08;4
86;71;6;12;1297,59;8
87;30;47;1;148,29;1
88;6;54;3;87,17;2
89;344;11;13;15997,74;28
90;1068;7;18;40522,53;39
91;313;4;23;13311,28;20
92;42;48;3;741,48;4
93;14724;4;10;795810,92;28
94;181;13;2;2739,04;5
95;452;11;17;15568,93;28
96;98;7;13;1176,92;7
97;2281;6;16;251457,4;30
98;204;6;7;6524,25;10
99;492;3;44;14273,02;20
100;1677;7;16;134508,7;34
101;1907;11;13;138180,25;42
102;264;19;10;7890,94;15
103;205;3;12;9996;18
104;61;6;9;2651,49;7
105;240;4;12;13218,21;19
106;30;66;1;16,44;1
107;230;3;5;11636,04;20
108;34;18;2;1552,87;7
109;182;7;9;3270,86;6
110;3152;2;22;109332,32;48
111;524;2;19;15718,21;24
112;597;3;10;30218,41;24
113;184;12;9;1700,68;7
114;452;3;13;15926,79;27
115;70;28;4;968,78;8
116;1382;6;15;89000,57;53
117;508;3;9;18499,61;22
118;144;32;4;1297,66;3
119;202;14;9;2581,31;8
120;74;45;3;1042,36;5
121;36;9;9;1375,16;8
122;153;4;6;8945,05;12
123;221;2;35;5359,9;10
124;234;76;1;12172,86;2
125;141;4;8;5130,72;13
126;10;49;1;124,69;1
127;376;14;12;16251,02;30
128;302;18;10;7417,74;11
129;342;4;17;12714,23;24
130;1361;13;7;49103,25;15
131;105;3;22;2583,67;9
132;1681;7;16;72922,99;42
133;22;13;2;309,38;3
134;85;18;5;3051,11;9
135;22;39;4;190,55;4
136;1389;2;8;30290,52;13
137;837;1;3;89532,87;19
138;663;5;12;52859,17;22
139;84;10;6;763,44;3
140;1191;4;13;54739,72;33
141;150;5;8;5670,2;12
142;349;3;26;9298,13;13
143;222;3;16;5691,82;14
144;155;42;6;5144,86;13
145;41189;2;65;6319742,34;103
146;226;12;12;5942,56;9
147;83;4;11;2234,87;7
148;1414;5;18;91745,88;56
149;200;6;10;9678,88;18
150;278;18;8;4483,91;13
151;117;5;10;854,03;5
152;70;3;4;1226,05;5
153;270;3;4;3222,76;4
154;703;3;12;10930,32;11
155;7631;3;58;459055,86;45
156;76;5;8;878,37;6
157;177;27;9;6751,55;13
158;100;84;1;1099,9;1
159;113;7;11;4058,37;12
160;220;19;11;7581,11;9
161;50;11;4;536,39;3
162;237;4;8;5288,77;13
163;906;2;25;32039,27;30
